301 27027 4610 22417 34557
302 26875 4588 22287 34088
303 26718 4467 22251 33653
304 26627 4474 22153 33125
305 26392 4372 22020 32801
306 26218 4399 21819 32368
307 25982 4283 21699 32020
308 25744 4112 21632 31767
309 25420 4030 21390 31533
310 25046 3944 21102 31359
311 24736 3901 20835 31211
312 24474 3828 20646 31076
313 24209 3849 20360 30891
314 23856 3748 20108 30797
315 23518 3686 19832 30752
316 23263 3636 19627 30681
317 22910 3556 19354 30732
318 22542 3474 19068 30771
319 22170 3432 18738 30827
320 21798 3375 18423 30907
321 21553 3302 18251 31034
322 21276 3338 17938 31144
323 20927 3321 17606 31331
324 20593 3286 17307 31550
325 20344 3286 17058 31758
326 20091 3228 16863 31961
327 19813 3165 16648 32271
328 19593 3195 16398 32567
329 19364 3198 16166 32847
330 19064 3167 15897 33199
331 18815 3150 15665 33488
332 18582 3083 15499 33885
333 18442 3111 15331 34224
334 18262 3092 15170 34605
335 18084 3077 15007 34997
336 17884 3025 14859 35451
337 17816 3056 14760 35886
338 17674 3066 14608 36345
339 17601 3046 14555 36805
340 17550 3134 14416 37225
341 17518 3143 14375 37622
342 17510 3151 14359 38013
343 17461 3140 14321 38464
344 17412 3107 14305 38896
345 17407 3075 14332 39385
346 17416 3154 14262 39746
347 17490 3192 14298 40074
348 17497 3216 14281 40511
349 17593 3335 14258 40823
350 17699 3444 14255 41127
351 17739 3484 14255 41540
352 17730 3407 14323 41915
353 17807 3403 14404 42316
354 17948 3432 14516 42611
355 18089 3509 14580 42892
356 18305 3593 14712 43084
357 18473 3639 14834 43280
358 18728 3728 15000 43447
359 18877 3674 15203 43627
360 19075 3683 15392 43873
361 19332 3769 15563 43922
362 19505 3803 15702 44040
363 19828 3898 15930 44057
364 20072 4046 16026 43966
365 20323 4129 16194 43899
366 20512 4137 16375 43792
367 20776 4157 16619 43727
368 21041 4182 16859 43629
369 21260 4223 17037 43512
370 21534 4284 17250 43352
371 21773 4306 17467 43210
372 21943 4329 17614 43028
373 22183 4346 17837 42825
374 22397 4322 18075 42632
375 22606 4372 18234 42461
376 22780 4370 18410 42208
377 23061 4375 18686 41957
378 23293 4495 18798 41571
379 23400 4467 18933 41287
380 23638 4506 19132 40923
381 23747 4452 19295 40657
382 23859 4442 19417 40370
383 24084 4516 19568 40007
384 24156 4468 19688 39700
385 24293 4418 19875 39323
386 24436 4484 19952 38883
387 24567 4515 20052 38508
388 24633 4526 20107 38106
389 24670 4478 20192 37743
390 24702 4526 20176 37392
391 24637 4430 20207 37064
392 24545 4328 20217 36777
393 24565 4262 20303 36454
394 24595 4257 20338 36106
395 24600 4329 20271 35831
396 24588 4301 20287 35586
397 24537 4389 20148 35285
398 24487 4303 20184 34989
399 24334 4271 20063 34788
400 24318 4259 20059 34533
401 24166 4137 20029 34367
402 24086 4080 20006 34154
403 23993 4115 19878 33950
404 23829 4046 19783 33831
405 23586 3976 19610 33703
406 23403 3937 19466 33567
407 23234 3840 19394 33506
408 23010 3758 19252 33483
409 22793 3673 19120 33483
410 22690 3730 18960 33412
411 22528 3754 18774 33370
412 22375 3691 18684 33346
413 22136 3642 18494 33394
414 21958 3675 18283 33453
415 21697 3598 18099 33549
416 21499 3511 17988 33641
417 21311 3489 17822 33690
418 21115 3452 17663 33852
419 20862 3424 17438 34034
420 20687 3465 17222 34106
421 20467 3422 17045 34280
422 20323 3425 16898 34483
423 20150 3382 16768 34732
424 20048 3388 16660 34945
425 19900 3389 16511 35116
426 19813 3412 16401 35299
427 19678 3372 16306 35582
428 19563 3398 16165 35720
429 19427 3333 16094 36062
430 19345 3322 16023 36322
431 19244 3335 15909 36637
432 19235 3388 15847 36861
433 19185 3428 15757 37074
434 19165 3507 15658 37323
435 19173 3528 15645 37576
436 19123 3460 15663 37858
437 19093 3444 15649 38133
438 19088 3450 15638 38423
439 19184 3456 15728 38671
440 19291 3512 15779 38920
441 19318 3546 15772 39180
442 19360 3555 15805 39323
443 19419 3611 15808 39542
444 19441 3587 15854 39698
445 19529 3574 15955 39868
446 19639 3704 15935 40006
447 19723 3695 16028 40229
448 19754 3720 16034 40387
449 19830 3708 16122 40586
450 19922 3657 16265 40761
451 19972 3683 16289 40822
452 20039 3769 16270 40884
453 20245 3886 16359 40839
454 20349 3963 16386 40900
455 20441 3930 16511 40994
456 20542 3890 16652 41033
457 20634 3950 16684 41083
458 20753 3964 16789 41103
459 20874 3978 16896 41094
460 21034 3964 17070 41025
461 21139 3996 17143 40985
462 21313 4047 17266 40943
463 21487 4104 17383 40875
464 21641 4062 17579 40742
465 21805 4105 17700 40629
466 21857 4103 17754 40574
467 21937 4072 17865 40512
468 21994 4018 17976 40410
469 22258 4122 18136 40179
470 22439 4140 18299 40045
471 22548 4236 18312 39806
472 22654 4279 18375 39613
473 22694 4222 18472 39454
474 22768 4213 18555 39331
475 22740 4095 18645 39194
476 22817 4039 18778 39010
477 22880 4076 18804 38823
478 22878 4135 18743 38616
479 22928 4166 18762 38428
480 22959 4198 18761 38273
481 22932 4147 18785 38074
482 22974 4171 18803 37871
483 23003 4181 18822 37643
484 23038 4112 18926 37490
485 23086 4094 18992 37288
486 23127 4136 18991 37118
487 23058 4102 18956 37001
488 23088 4075 19013 36816
489 23137 4152 18985 36611
490 23122 4186 18936 36396
491 23078 4145 18933 36231
492 23048 4116 18932 36131
493 22981 3999 18982 36000
494 22929 3945 18984 35963
495 22787 3887 18900 35899
496 22767 3935 18832 35781
497 22678 3938 18740 35680
498 22576 3911 18665 35576
499 22546 3988 18558 35437
500 22463 4009 18454 35383
501 22364 3916 18448 35395
502 22159 3814 18345 35399
503 22149 3813 18336 35415
